파일명,클러스터,구간-시작(초),구간-종료(초),최소 주파수(Hz),최대 주파수(Hz),최빈값(Hz),최대 진폭(dB SPL)
1422.wav,0,0.00,1.00,47.48,47.48,47.48,76.73
1423.wav,0,0.00,1.00,47.48,47.48,47.48,79.10
1424.wav,0,0.00,0.86,47.48,47.48,47.48,86.63
1425.wav,1,0.00,1.00,62.25,62.25,62.25,96.69
1426.wav,1,0.00,1.00,62.25,62.25,62.25,88.71
1427.wav,0,0.00,0.93,47.48,47.48,47.48,75.22
1428.wav,2,0.00,1.00,77.03,77.03,77.03,105.48
1429.wav,2,0.00,1.00,77.03,77.03,77.03,102.86
1430.wav,2,0.00,1.00,77.03,77.03,77.03,108.39
1431.wav,0,0.00,1.00,47.48,47.48,47.48,65.10
1432.wav,0,0.00,0.91,47.48,47.48,47.48,71.03
1433.wav,3,0.00,1.00,91.80,91.80,91.80,96.57
1434.wav,0,0.00,0.88,47.48,47.48,47.48,73.50
1435.wav,2,0.00,1.00,62.25,62.25,62.25,92.15
1436.wav,0,0.00,1.00,47.48,47.48,47.48,78.08
1437.wav,0,0.00,1.00,47.48,47.48,47.48,74.66
1438.wav,0,0.00,0.65,32.70,32.70,32.70,68.09
1439.wav,2,0.00,0.98,77.03,77.03,77.03,95.91
1440.wav,3,0.00,1.00,91.80,91.80,91.80,95.75
1441.wav,1,0.00,0.98,62.25,62.25,62.25,74.19
1442.wav,3,0.00,1.00,91.80,91.80,91.80,108.77
1443.wav,3,0.00,0.98,91.80,91.80,91.80,104.50
1444.wav,0,0.00,0.98,47.48,47.48,47.48,70.80
1445.wav,1,0.00,1.00,62.25,62.25,62.25,89.23
1446.wav,0,0.00,1.00,47.48,47.48,47.48,66.43
1447.wav,1,0.00,0.93,62.25,62.25,62.25,85.01
1448.wav,3,0.00,1.00,91.80,91.80,91.80,95.99
1449.wav,0,0.00,0.74,32.70,32.70,32.70,60.45
1450.wav,0,0.00,1.00,47.48,47.48,47.48,73.79
1451.wav,1,0.00,1.00,62.25,62.25,62.25,86.31
1452.wav,2,0.02,1.00,77.03,77.03,77.03,107.95
1453.wav,2,0.00,1.00,62.25,62.25,62.25,100.61
1454.wav,0,0.00,0.93,47.48,47.48,47.48,77.04
1455.wav,2,0.02,0.98,77.03,77.03,77.03,82.42
1456.wav,2,0.00,1.00,77.03,77.03,77.03,97.46
1457.wav,1,0.00,0.93,62.25,62.25,62.25,90.42
1458.wav,5,0.02,1.00,121.35,121.35,121.35,103.76
1459.wav,0,0.02,0.86,62.25,62.25,62.25,59.03
1460.wav,2,0.02,1.00,77.03,77.03,77.03,95.50
1461.wav,0,0.00,0.67,47.48,47.48,47.48,71.06
1462.wav,1,0.00,0.93,62.25,62.25,62.25,78.65
1463.wav,1,0.00,0.93,62.25,62.25,62.25,89.63
1464.wav,6,0.00,0.95,136.12,136.12,136.12,92.01
1465.wav,2,0.00,1.00,77.03,77.03,77.03,98.42
1466.wav,1,0.00,0.95,62.25,62.25,62.25,77.62
1467.wav,1,0.02,1.00,62.25,62.25,62.25,85.43
1468.wav,0,0.00,1.00,47.48,47.48,47.48,69.04
1469.wav,0,0.00,1.00,47.48,47.48,47.48,63.64
1470.wav,0,0.00,1.00,47.48,47.48,47.48,63.75
1471.wav,0,0.00,0.81,47.48,47.48,47.48,78.32
1472.wav,1,0.00,1.00,62.25,62.25,62.25,82.85
1473.wav,1,0.00,1.00,62.25,62.25,62.25,84.89
1474.wav,1,0.00,0.95,62.25,62.25,62.25,75.37
1475.wav,1,0.00,1.00,62.25,62.25,62.25,79.37
1476.wav,1,0.00,1.00,62.25,62.25,62.25,82.93
1477.wav,0,0.00,0.46,47.48,47.48,47.48,72.04
1478.wav,2,0.00,1.00,77.03,77.03,77.03,82.65
1479.wav,5,0.00,0.95,121.35,121.35,121.35,104.69
1480.wav,1,0.00,1.00,62.25,62.25,62.25,83.88
1481.wav,3,0.02,1.00,106.57,106.57,106.57,79.69
1482.wav,1,0.00,1.00,91.80,91.80,91.80,65.41
1483.wav,4,0.00,1.00,121.35,121.35,121.35,80.35
1484.wav,2,0.00,1.00,77.03,77.03,77.03,88.21
1485.wav,2,0.00,1.00,77.03,77.03,77.03,83.12
1486.wav,0,0.00,1.00,62.25,62.25,62.25,76.83
1487.wav,0,0.00,1.00,62.25,62.25,62.25,76.65
1488.wav,0,0.00,1.00,62.25,62.25,62.25,73.76
1489.wav,0,0.00,1.00,62.25,62.25,62.25,75.92
1490.wav,0,0.00,1.00,62.25,62.25,62.25,75.93
1491.wav,0,0.00,1.00,62.25,62.25,62.25,74.15
1492.wav,0,0.00,1.00,62.25,62.25,62.25,79.47
1493.wav,1,0.00,1.00,62.25,62.25,62.25,98.50
1494.wav,0,0.00,1.00,62.25,62.25,62.25,72.08
1495.wav,0,0.00,1.00,62.25,62.25,62.25,75.92
1496.wav,0,0.00,1.00,47.48,47.48,47.48,65.17
1497.wav,0,0.00,1.00,62.25,62.25,62.25,70.23
1498.wav,0,0.00,1.00,62.25,62.25,62.25,73.67
1499.wav,0,0.00,1.00,62.25,62.25,62.25,77.34
1500.wav,0,0.00,1.00,62.25,62.25,62.25,74.46
1501.wav,0,0.00,1.00,47.48,47.48,47.48,63.77
